Estacion,Longitud,Latitud,Altitud,Nombre,Municipio,Estados,Variable,Incio ,Fin,Periodo,E,F,M,A,M2,J,J3,A4,S,O,N,D,Prec_Total
13061,-98.44861,20.22722,2106,ALCHOLOYA,ACATLAN,HIDALGO,Prec [mm],1962,2010,48,11.5,10.9,14.2,33.1,43.5,83.8,69.5,78.7,100,56.6,14,4.7,520.5
13060,-98.94167,20.27194,2014,ACTOPAN,ACTOPAN,HIDALGO,Prec [mm],1953,2010,57,10.9,6.1,10.5,26.6,39.8,65.5,62.5,51,64.8,38.6,9.6,5.1,391
13095,-98.35833,20.34611,2192,AGUA BLANCA,AGUA BLANCA DE ITURBIDE,HIDALGO,Prec [mm],1974,2010,36,16.9,11.9,13,22,31,0,100.2,113.6,149,50.7,19.9,13.1,541.3
13081,-99.37639,20.43611,1861,PRESA GOLONDRINAS,ALFAJAYUCAN,HIDALGO,Prec [mm],1952,2010,58,10.6,10.6,8.5,23.8,48.4,72.2,74.5,67.4,78.3,41.7,10.6,4.9,451.5
13122,-99.36667,20.41667,1871,PRESA JAVIER ROJO GOMEZ,ALFAJAYUCAN,HIDALGO,Prec [mm],1979,2010,31,13.9,16.6,7.8,22,49.1,69.7,72,53,50.8,22.2,6.9,5.9,389.9
13085,-98.39917,19.725,2643,PRESA TEZOYO,ALMOLOYA,HIDALGO,Prec [mm],1953,2010,57,10.4,12.5,18.3,41.5,62,101,112.1,100.3,111.5,62.4,17.8,8.5,658.3
13096,-98.66,20.28167,2105,ATOTONILCO,ATOTONILCO EL GRANDE,HIDALGO,Prec [mm],1974,2010,36,10.3,14.2,14.8,36,56.5,118,116.9,136.2,169.5,82,17.8,6.6,778.8
13070,-99.13611,20.66306,2331,SANTUARIO,CARDONAL,HIDALGO,Prec [mm],1969,2010,41,14.1,13.2,8.9,31.4,43.4,82.6,64.1,68.3,93.9,41.9,16.5,6.1,484.4
13105,-99.11389,20.61444,2045,CARDONAL,CARDONAL,HIDALGO,Prec [mm],1977,2009,32,8.3,10.7,8.8,21.2,42.1,58.7,52.7,46.6,69.4,42.2,14.1,4.1,378.9
13064,-99.41028,20.28694,2121,CHAPANTONGO,CHAPANTONGO,HIDALGO,Prec [mm],1963,2010,47,12.1,9.6,13.8,25.6,51,101.4,110.5,100.4,95.1,45.6,12.8,6.7,584.6
13097,-99.23167,20.32083,1854,CHILCUAUTLA,CHILCUAUTLA,HIDALGO,Prec [mm],1974,2010,36,9.6,8.1,10.4,24.5,34.5,42.5,62.2,48.7,51.9,35,7.9,6,341.3
13029,-98.29722,19.98722,2361,SAN LORENZO SAYULA,CUAUTEPEC DE HINOJOSA,HIDALGO,Prec [mm],1961,2009,48,12.5,14.4,17.2,35.8,49,107.4,91.9,84.6,112,68,17.9,8.8,619.5
13030,-98.35583,19.86472,2531,SAN RAFAEL MAZATEPEC,CUAUTEPEC DE HINOJOSA,HIDALGO,Prec [mm],1966,2008,42,9.5,14.8,21.4,49.6,70.5,118.2,129.1,115.2,100.9,56.3,18.8,10.3,714.6
13024,-98.64028,19.60111,2640,POTRERITO,EMILIANO ZAPATA,HIDALGO,Prec [mm],1969,2009,40,9.6,11.1,16.8,30.4,66.7,107.9,106.1,105,99,54.6,11.1,5.7,624
13098,-98.57778,20.21,2108,HUASCA,HUASCA DE OCAMPO,HIDALGO,Prec [mm],1974,2009,35,11.7,11.2,12.7,40.1,71.8,132.4,121.9,119.1,161.8,87.2,19,7.4,796.3
13011,-98.41917,21.14,149,HUEJUTLA,HUEJUTLA DE REYES,HIDALGO,Prec [mm],1969,2010,41,46.7,50.8,46.9,67,95.6,192.9,214.9,178.5,282.3,170.8,67.8,51.6,1465.8
13012,-99.64889,20.37139,2121,HUICHAPAN,HUICHAPAN,HIDALGO,Prec [mm],1903,2010,107,8.2,8.1,10.2,19.5,41.2,96.4,75.9,73.4,67,32.5,10.4,5.6,448.4
13076,-99.5325,20.43667,2310,JONACAPA,HUICHAPAN,HIDALGO,Prec [mm],1967,2009,42,9.2,5.1,11.8,16.8,34.7,96.5,95.9,100.2,91.3,32.6,8.1,6.7,508.9
13083,-99.72167,20.32333,2181,PRESA MADERO,HUICHAPAN,HIDALGO,Prec [mm],1939,2010,71,11.8,7.2,8.9,24.3,44.9,92.3,102.5,95.8,78.8,40.9,12.4,6.6,526.4
13013,-99.22083,20.48194,1702,IXMIQUILPAN (SMN),IXMIQUILPAN,HIDALGO,Prec [mm],1922,2010,88,8.5,6.1,7.8,22.5,43.3,60.7,49.7,46.3,64.7,31.2,9.6,6.9,357.3
13069,-99.14944,20.43306,1808,EL MEZQUITAL KM. 150,IXMIQUILPAN,HIDALGO,Prec [mm],1964,2010,46,11.2,9.1,10.1,22.6,42.2,55.5,54.1,47.6,62.1,33.6,8.3,5.7,362.1
